Date,VIX,VIX9D,VVIX,MOVE,VXN,RVX
2015-01-02,70.0,,17.790000915527344,16.469999313354492,112.55000305175781,19.200000762939453
2015-01-05,71.5,,19.920000076293945,19.450000762939453,121.87000274658203,20.719999313354492
2015-01-06,84.9000015258789,,21.1200008392334,20.530000686645508,118.44999694824219,21.850000381469727
2015-01-07,85.19999694824219,,19.309999465942383,17.59000015258789,107.69000244140625,20.15999984741211
2015-01-08,85.19999694824219,,17.010000228881836,15.039999961853027,98.44000244140625,18.149999618530273
2015-01-09,80.5999984741211,,17.549999237060547,15.199999809265137,103.7699966430664,18.399999618530273
2015-01-12,81.9000015258789,,19.600000381469727,18.200000762939453,109.04000091552734,19.8700008392334
2015-01-13,83.0,,20.559999465942383,19.6299991607666,109.22000122070312,20.709999084472656
2015-01-14,85.30000305175781,,21.479999542236328,21.229999542236328,113.5,21.40999984741211
2015-01-15,85.30000305175781,,22.389999389648438,23.729999542236328,117.06999969482422,22.719999313354492
2015-01-16,92.5999984741211,,20.950000762939453,21.479999542236328,111.31999969482422,21.219999313354492
2015-01-20,90.5999984741211,,19.889999389648438,21.940000534057617,108.4000015258789,20.690000534057617
2015-01-21,88.30000305175781,,18.850000381469727,20.360000610351562,98.62000274658203,20.020000457763672
2015-01-22,85.0999984741211,,16.399999618530273,15.579999923706055,93.25,17.079999923706055
2015-01-23,89.9000015258789,,16.65999984741211,16.079999923706055,96.33000183105469,17.059999465942383
2015-01-26,85.30000305175781,,15.520000457763672,14.890000343322754,91.94000244140625,16.969999313354492
2015-01-27,86.19999694824219,,17.219999313354492,17.559999465942383,96.11000061035156,19.219999313354492
2015-01-28,86.4000015258789,,20.440000534057617,21.780000686645508,108.68000030517578,21.389999389648438
2015-01-29,86.5999984741211,,18.760000228881836,18.780000686645508,100.69999694824219,19.479999542236328
2015-01-30,,,20.969999313354492,21.170000076293945,108.98999786376953,21.59000015258789
2015-02-02,88.0999984741211,,19.43000030517578,19.389999389648438,106.73999786376953,20.790000915527344
2015-02-03,92.69999694824219,,17.329999923706055,16.540000915527344,101.02999877929688,18.809999465942383
2015-02-04,92.30000305175781,,18.329999923706055,17.479999542236328,103.73999786376953,19.15999984741211
2015-02-05,93.0,,16.850000381469727,15.3100004196167,98.55999755859375,18.18000030517578
2015-02-06,93.69999694824219,,17.290000915527344,14.930000305175781,101.69000244140625,18.40999984741211
2015-02-09,95.0999984741211,,18.549999237060547,16.8799991607666,104.19000244140625,19.1200008392334
2015-02-10,95.3499984741211,,17.229999542236328,15.199999809265137,97.33000183105469,17.459999084472656
2015-02-11,94.19999694824219,,16.959999084472656,14.279999732971191,98.7300033569336,17.389999389648438
2015-02-12,91.5999984741211,,15.34000015258789,12.359999656677246,93.23999786376953,16.100000381469727
2015-02-13,91.4000015258789,,14.6899995803833,11.760000228881836,92.73999786376953,15.149999618530273
2015-02-17,91.80000305175781,,15.800000190734863,13.550000190734863,92.94999694824219,15.960000038146973
2015-02-18,91.4000015258789,,15.449999809265137,12.399999618530273,89.37999725341797,15.899999618530273
2015-02-19,98.5,,15.289999961853027,12.34000015258789,87.5999984741211,15.4399995803833
2015-02-20,98.30000305175781,,14.300000190734863,11.739999771118164,85.77999877929688,14.670000076293945
2015-02-23,97.69999694824219,,14.5600004196167,12.15999984741211,86.12999725341797,14.869999885559082
2015-02-24,94.0999984741211,,13.6899995803833,10.9399995803833,82.6500015258789,14.260000228881836
2015-02-25,91.5,,13.84000015258789,11.640000343322754,86.56999969482422,14.380000114440918
2015-02-26,90.5,,13.90999984741211,11.380000114440918,86.93000030517578,14.329999923706055
2015-02-27,91.4000015258789,,13.34000015258789,10.600000381469727,85.2300033569336,14.619999885559082
2015-03-02,90.19999694824219,,13.039999961853027,10.850000381469727,81.83999633789062,14.270000457763672
2015-03-03,91.80000305175781,,13.859999656677246,11.8100004196167,85.05000305175781,14.979999542236328
2015-03-04,90.69999694824219,,14.229999542236328,12.279999732971191,84.0999984741211,15.59000015258789
2015-03-05,89.30000305175781,,14.039999961853027,12.15999984741211,81.26000213623047,15.220000267028809
2015-03-06,86.5999984741211,,15.199999809265137,14.3100004196167,86.87999725341797,16.75
2015-03-09,84.0,,15.0600004196167,14.199999809265137,85.55000305175781,16.440000534057617
2015-03-10,84.4000015258789,,16.690000534057617,16.719999313354492,91.88999938964844,18.020000457763672
2015-03-11,85.0,,16.8700008392334,16.780000686645508,97.27999877929688,18.420000076293945
2015-03-12,85.5999984741211,,15.420000076293945,15.039999961853027,89.4800033569336,17.149999618530273
2015-03-13,86.0999984741211,,16.0,15.25,93.12000274658203,17.549999237060547
2015-03-16,84.80000305175781,,15.609999656677246,16.149999618530273,90.54000091552734,16.90999984741211
2015-03-17,86.30000305175781,,15.65999984741211,16.719999313354492,88.25,16.600000381469727
2015-03-18,85.69999694824219,,13.970000267028809,13.850000381469727,81.22000122070312,14.989999771118164
2015-03-19,87.80000305175781,,14.069999694824219,12.890000343322754,81.61000061035156,14.710000038146973
2015-03-20,86.5,,13.020000457763672,10.729999542236328,80.48999786376953,13.819999694824219
2015-03-23,84.9000015258789,,13.40999984741211,12.029999732971191,79.9800033569336,14.4399995803833
2015-03-24,83.69999694824219,,13.619999885559082,12.239999771118164,80.04000091552734,14.619999885559082
2015-03-25,84.19999694824219,,15.4399995803833,15.279999732971191,83.5199966430664,17.329999923706055
2015-03-26,86.19999694824219,,15.800000190734863,15.920000076293945,87.02999877929688,17.5
2015-03-27,86.19999694824219,,15.069999694824219,14.6899995803833,86.5,16.889999389648438
