"query","search interest","increase percent"
"charlie kirk",9,"Breakout"
"charlie kirk shot",1,"3,750%"
"charlie kirk shooter",1,"2,500%"
"la fires",1,"1,850%"
"tariffs",6,"1,800%"
"gene hackman",1,"1,550%"
"tariff",3,"1,400%"
"2025",83,"1,100%"
"trump tariffs",2,"1,050%"
"trump approval rating",1,"1,000%"
"pope leo xiv",0,"950%"
"doge",3,"850%"
"shedeur sanders",1,"650%"
"government shutdown",3,"650%"
"trump epstein",1,"600%"
"federal employees",1,"600%"
"shutdown",4,"550%"
"pope",3,"500%"
"kash patel",1,"500%"
"xrp price",1,"450%"
"measles",2,"450%"
"f1 movie",0,"400%"
"switch 2",2,"400%"
"ai news",2,"350%"
"trump health",1,"350%"
"ice",9,"350%"
"medicaid",2,"300%"
"greenland",1,"300%"
"nintendo switch 2",1,"300%"
"department of education",1,"300%"
"pete hegseth",1,"300%"
"powerball",2,"250%"
"pope francis",1,"250%"
"xrp",4,"200%"
"zelensky",1,"200%"
"xrp news",1,"200%"
"hulk hogan",1,"200%"
"stock market today",1,"190%"
"politico",1,"180%"
"bitcoin price",2,"170%"
"blake lively",1,"150%"
"chatgpt",2,"150%"
"harvard",2,"150%"
"justin baldoni",0,"130%"
"stock market",4,"130%"
"tesla stock",1,"130%"
"immigration",5,"130%"
"us news",3,"120%"
"aaron rodgers",1,"120%"
"pakistan",3,"120%"
