"query","search interest","increase percent"
"renee good",3,"Breakout"
"ice shooting",8,"Breakout"
"catherine o'hara",3,"Breakout"
"bo nix ankle",1,"Breakout"
"renee nicole good",1,"Breakout"
"bo nix injury",1,"Breakout"
"rams vs bears",1,"Breakout"
"catherine o'hara cause of death",1,"3,950%"
"john harbaugh",1,"3,600%"
"iran protests",1,"3,500%"
"current ceo of microsoft",1,"3,350%"
"bo nix",3,"3,050%"
"venezuela president",1,"2,900%"
"minneapolis shooting",4,"2,350%"
"greenland news",1,"2,200%"
"super bowl 2026",3,"2,150%"
"rams vs bears score",0,"1,900%"
"winter storm",5,"1,850%"
"maduro",5,"1,800%"
"nicolas maduro",1,"1,550%"
"verizon outage",2,"1,550%"
"kristi noem impeachment",0,"1,500%"
"bo nix broken ankle",0,"1,500%"
"greenland",7,"1,400%"
"venezuela news",3,"1,300%"
"mike tomlin",1,"1,300%"
"minneapolis",12,"1,300%"
"trump greenland",2,"1,100%"
"davos",1,"1,000%"
"silver price",3,"1,000%"
"mike mcdaniel",1,"1,000%"
"bills vs broncos",0,"1,000%"
"heated rivalry",1,"1,000%"
"silver price today",1,"1,000%"
"bears game",1,"950%"
"australian open",2,"850%"
"nfl playoff bracket",1,"850%"
"matt lafleur",0,"800%"
"indiana football",1,"800%"
"venezuela",16,"750%"
"amazon layoffs",1,"650%"
"ryan wedding",0,"650%"
"nfl mock draft 2026",0,"600%"
"trae young",1,"600%"
"nfl playoff schedule",1,"600%"
"nfl playoffs",1,"550%"
"minnesota",17,"550%"
"epstein files",4,"550%"
"ice",37,"500%"
"kristi noem",2,"500%"
