"query","search interest","increase percent"
"hurricane ian",3,"Breakout"
"wordle",3,"Breakout"
"monkeypox",3,"3,450%"
"ukraine news",4,"2,150%"
"ukraine war",3,"2,050%"
"zelensky",1,"1,800%"
"chris rock",2,"1,800%"
"ukraine",23,"1,650%"
"washington commanders",0,"1,600%"
"kherson",0,"1,500%"
"brittney griner",1,"1,300%"
"hurricane ian tracker",0,"1,300%"
"ukraine russia",6,"1,250%"
"russia ukraine",6,"1,250%"
"putin",6,"1,000%"
"russian economy",0,"850%"
"will smith",3,"800%"
"recession",1,"800%"
"iphone 14",1,"750%"
"world cup",5,"700%"
"nato",2,"600%"
"amber heard",3,"550%"
"johnny depp",3,"450%"
"russia",18,"400%"
"elon musk twitter",1,"350%"
"russia news",2,"350%"
"vladimir putin",0,"350%"
"abortion",4,"300%"
"tyrann mathieu",0,"250%"
"queen elizabeth",2,"200%"
"inflation",3,"170%"
"traductor",2,"170%"
"poland",1,"170%"
"习近平",1,"140%"
"supreme court",3,"130%"
"mega millions",2,"100%"
"kanye west",2,"100%"
"powerball numbers",1,"100%"
"elon musk",3,"90%"
"phillies",1,"90%"
"lauren boebert",0,"70%"
"student loan forgiveness",1,"70%"
"antonio brown",1,"50%"
"housing market",1,"50%"
"student loans",1,"50%"
"odell beckham jr",1,"40%"
"taiwan",3,"40%"
"real madrid",1,"40%"
"north korea",1,"40%"
"tom brady",2,"40%"
