"query","search interest","increase percent"
"hurricane dorian",2,"Breakout"
"jussie smollett",1,"3,900%"
"notre dame fire",1,"2,800%"
"mad cow",1,"2,100%"
"avengers endgame",1,"1,950%"
"pete buttigieg",1,"1,900%"
"lori loughlin",1,"1,900%"
"cameron boyce",1,"1,750%"
"andrew yang",1,"1,700%"
"disney plus",1,"1,600%"
"mad cow disease",1,"1,550%"
"nipsey hussle",1,"1,400%"
"jeffrey epstein",1,"1,200%"
"antonio brown",2,"950%"
"mueller report",0,"850%"
"r kelly",1,"700%"
"biden",2,"700%"
"impeachment",4,"650%"
"joe biden",1,"500%"
"hong kong",2,"500%"
"香港",1,"450%"
"boris johnson",0,"400%"
"kamala harris",1,"300%"
"game of thrones",3,"300%"
"bernie sanders",2,"250%"
"wework",1,"200%"
"trump impeachment",1,"190%"
"notre dame",2,"160%"
"brexit",2,"150%"
"venezuela news",0,"140%"
"huawei",1,"140%"
"kevin durant",1,"130%"
"melvin gordon",0,"130%"
"venezuela",3,"110%"
"ukraine",1,"100%"
"climate change",1,"100%"
"recession",1,"90%"
"bryce harper",1,"80%"
"beto o'rourke",0,"70%"
"boeing",2,"60%"
"michael jackson",1,"60%"
"phillies",1,"50%"
"news today",6,"50%"
"pakistan",2,"50%"
"shutdown",3,"40%"
"iran news",1,"40%"
"earthquake",3,"40%"
"india",6,"30%"
"tottenham",0,"30%"
"iran",4,"30%"
