"query","search interest","increase percent"
"kavanaugh",4,"Breakout"
"hurricane florence",2,"Breakout"
"fortnite",6,"3,400%"
"mollie tibbetts",1,"2,050%"
"michael cohen",1,"1,300%"
"avengers 4",1,"850%"
"anthony bourdain",1,"750%"
"dez bryant",1,"650%"
"black panther",2,"550%"
"kate spade",1,"550%"
"world cup 2018",1,"500%"
"cohen",2,"450%"
"xxxtentacion",2,"450%"
"le'veon bell",1,"400%"
"government shutdown",1,"300%"
"mega millions",1,"250%"
"red dead redemption 2",1,"250%"
"meghan markle",2,"250%"
"kawhi leonard",1,"200%"
"cryptocurrency",2,"190%"
"manafort",1,"180%"
"avengers infinity war",1,"180%"
"mueller",5,"170%"
"demi lovato",1,"160%"
"dow jones",1,"130%"
"mueller investigation",1,"130%"
"ripple",1,"120%"
"tsunami",1,"120%"
"hawaii",3,"110%"
"kanye west",1,"90%"
"robert mueller",0,"90%"
"weather radar",1,"70%"
"khloe kardashian",1,"70%"
"kingdom hearts 3",0,"70%"
"lebron james",2,"60%"
"local news",2,"50%"
"shooting",13,"40%"
"lakers",4,"40%"
"stock market",3,"40%"
"markelle fultz",0,"40%"
"cleveland browns",1,"40%"
"ford",5,"40%"
"nafta",0,"40%"
"eagles",3,"40%"
"nicki minaj",1,"30%"
"red sox",1,"30%"
"kate middleton",1,"30%"
"netflix",4,"30%"
"instagram",4,"30%"
"news today",4,"20%"
