event_start,event_end,event_type,headline,category
2017-02-03,2017-02-03,crisis,aaron hernandez,General / Breaking News
2017-02-07,2017-02-07,crisis,carmelo anthony,General / Breaking News
2017-02-07,2017-02-07,geopolitics,trump impeachment,Politics & Government
2017-02-07,2017-02-07,crisis,kellyanne conway,General / Breaking News
2017-02-08,2017-02-10,crisis,sessions,General / Breaking News
2017-02-08,2017-02-14,geopolitics,ivanka trump,Politics & Government
2017-02-09,2017-02-09,crisis,weather,Natural Disasters & Climate
2017-02-09,2017-02-09,crisis,carmelo anthony,General / Breaking News
2017-02-09,2017-02-10,crisis,kellyanne conway,General / Breaking News
2017-02-10,2017-02-10,crisis,cnn news,General / Breaking News
2017-02-10,2017-02-10,crisis,michael t. flynn,General / Breaking News
2017-02-13,2017-02-13,crisis,meryl streep,General / Breaking News
2017-02-13,2017-02-13,crisis,carmelo anthony,General / Breaking News
2017-02-13,2017-02-14,geopolitics,trump news,Politics & Government
2017-02-14,2017-02-14,crisis,aaron hernandez,General / Breaking News
2017-02-14,2017-02-15,crisis,kellyanne conway,General / Breaking News
2017-02-14,2017-02-14,crisis,washington post,General / Breaking News
2017-02-14,2017-02-14,crisis,sean spicer,General / Breaking News
2017-02-14,2017-02-15,crisis,toshiba,General / Breaking News
2017-02-14,2017-02-22,crisis,michael t. flynn,General / Breaking News
2017-02-15,2017-02-15,geopolitics,trump russia,Politics & Government
2017-02-16,2017-02-17,crisis,immigration,General / Breaking News
2017-02-16,2017-02-17,geopolitics,trump news,Politics & Government
2017-02-16,2017-02-17,crisis,carmelo anthony,General / Breaking News
2017-02-17,2017-02-17,crisis,mariah carey,General / Breaking News
2017-02-22,2017-02-22,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-02-22,2017-02-27,crisis,meryl streep,General / Breaking News
2017-02-22,2017-02-24,crisis,immigration,General / Breaking News
2017-02-23,2017-02-24,crisis,betsy devos,General / Breaking News
2017-02-23,2017-02-24,crisis,kellyanne conway,General / Breaking News
2017-02-24,2017-02-24,geopolitics,trump news,Politics & Government
2017-02-24,2017-02-24,crisis,sean spicer,General / Breaking News
2017-02-27,2017-02-28,crisis,miss universe,General / Breaking News
2017-02-28,2017-02-28,crisis,betsy devos,General / Breaking News
2017-03-01,2017-03-08,crisis,nintendo switch,Technology & AI
2017-03-01,2017-03-02,crisis,aaron hernandez,General / Breaking News
2017-03-01,2017-03-01,crisis,mariah carey,General / Breaking News
2017-03-01,2017-03-01,crisis,immigration,General / Breaking News
2017-03-01,2017-03-01,geopolitics,melania trump,Politics & Government
2017-03-02,2017-03-02,geopolitics,trump news,Politics & Government
2017-03-02,2017-03-06,crisis,sessions,General / Breaking News
2017-03-02,2017-03-03,crisis,nintendo,Technology & AI
2017-03-02,2017-03-02,crisis,washington post,General / Breaking News
2017-03-02,2017-03-03,crisis,michael t. flynn,General / Breaking News
2017-03-02,2017-03-02,geopolitics,trump russia,Politics & Government
2017-03-03,2017-03-03,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-03-03,2017-03-03,crisis,betsy devos,General / Breaking News
2017-03-06,2017-03-06,crisis,kellyanne conway,General / Breaking News
2017-03-07,2017-03-07,geopolitics,trump twitter,Politics & Government
2017-03-10,2017-03-10,crisis,meryl streep,General / Breaking News
2017-03-13,2017-03-13,crisis,kellyanne conway,General / Breaking News
2017-03-14,2017-03-14,crisis,weather,Natural Disasters & Climate
2017-03-14,2017-03-14,crisis,toshiba,General / Breaking News
2017-03-14,2017-03-14,crisis,united airlines,Technology & AI
2017-03-16,2017-03-16,crisis,craigslist,Technology & AI
2017-03-16,2017-03-16,crisis,immigration,General / Breaking News
2017-03-16,2017-03-16,crisis,news today,General / Breaking News
2017-03-17,2017-03-17,geopolitics,trump news,Politics & Government
2017-03-20,2017-03-20,crisis,patriots,General / Breaking News
2017-03-20,2017-03-21,geopolitics,trump russia,Politics & Government
2017-03-20,2017-03-20,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-03-21,2017-03-21,crisis,aaron hernandez,General / Breaking News
2017-03-21,2017-03-21,crisis,mariah carey,General / Breaking News
2017-03-23,2017-03-23,crisis,news today,General / Breaking News
2017-03-24,2017-03-24,crisis,cnn news,General / Breaking News
2017-03-27,2017-03-27,crisis,craigslist,Technology & AI
2017-03-27,2017-03-27,crisis,mariah carey,General / Breaking News
2017-03-27,2017-03-27,crisis,united airlines,Technology & AI
2017-03-28,2017-03-28,geopolitics,trump russia,Politics & Government
2017-03-29,2017-03-30,crisis,toshiba,General / Breaking News
2017-03-30,2017-03-30,crisis,michael t. flynn,General / Breaking News
2017-04-03,2017-04-03,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-04-03,2017-04-03,crisis,craigslist,Technology & AI
2017-04-03,2017-04-03,crisis,mariah carey,General / Breaking News
2017-04-03,2017-04-04,geopolitics,trump impeachment,Politics & Government
2017-04-05,2017-04-05,crisis,cnn news,General / Breaking News
2017-04-06,2017-04-10,crisis,aaron hernandez,General / Breaking News
2017-04-07,2017-04-10,crisis,cnn news,General / Breaking News
2017-04-10,2017-04-10,crisis,mariah carey,General / Breaking News
2017-04-10,2017-04-12,crisis,toshiba,General / Breaking News
2017-04-10,2017-04-18,crisis,united airlines,Technology & AI
2017-04-17,2017-04-17,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-04-17,2017-04-17,crisis,news today,General / Breaking News
2017-04-17,2017-04-17,crisis,celtics,General / Breaking News
2017-04-17,2017-04-17,crisis,korea,General / Breaking News
2017-04-18,2017-04-18,geopolitics,ivanka trump,Politics & Government
2017-04-18,2017-04-19,crisis,carmelo anthony,General / Breaking News
2017-04-19,2017-05-01,crisis,aaron hernandez,General / Breaking News
2017-04-19,2017-04-24,crisis,patriots,General / Breaking News
2017-04-19,2017-04-20,crisis,news today,General / Breaking News
2017-04-21,2017-04-21,crisis,carmelo anthony,General / Breaking News
2017-04-21,2017-04-21,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-04-21,2017-04-21,crisis,united airlines,Technology & AI
2017-04-25,2017-04-26,geopolitics,ivanka trump,Politics & Government
2017-04-25,2017-04-28,crisis,united airlines,Technology & AI
2017-04-26,2017-04-26,crisis,eminem,General / Breaking News
2017-04-26,2017-04-26,crisis,meryl streep,General / Breaking News
2017-05-01,2017-05-01,crisis,weather,Natural Disasters & Climate
2017-05-01,2017-05-01,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-05-01,2017-05-01,crisis,immigration,General / Breaking News
2017-05-01,2017-05-02,crisis,eminem,General / Breaking News
2017-05-02,2017-05-02,crisis,united airlines,Technology & AI
2017-05-03,2017-05-03,crisis,cnn news,General / Breaking News
2017-05-03,2017-05-03,geopolitics,trump russia,Politics & Government
2017-05-03,2017-05-03,crisis,meryl streep,General / Breaking News
2017-05-04,2017-05-05,crisis,aaron hernandez,General / Breaking News
2017-05-04,2017-05-04,crisis,mariah carey,General / Breaking News
2017-05-05,2017-05-05,crisis,dragon ball super,General / Breaking News
2017-05-08,2017-05-10,crisis,united airlines,Technology & AI
2017-05-08,2017-05-08,crisis,carmelo anthony,General / Breaking News
2017-05-09,2017-05-17,crisis,aaron hernandez,General / Breaking News
2017-05-09,2017-05-09,crisis,patriots,General / Breaking News
2017-05-10,2017-05-11,crisis,betsy devos,General / Breaking News
2017-05-10,2017-05-10,crisis,kellyanne conway,General / Breaking News
2017-05-10,2017-05-12,crisis,sessions,General / Breaking News
2017-05-10,2017-05-12,geopolitics,trump russia,Politics & Government
2017-05-12,2017-05-12,crisis,eminem,General / Breaking News
2017-05-12,2017-05-12,crisis,nbc news,General / Breaking News
2017-05-12,2017-05-16,macro,bitcoin,Crypto & Digital Assets
2017-05-12,2017-05-15,crisis,miss universe,General / Breaking News
2017-05-15,2017-05-15,crisis,toshiba,General / Breaking News
2017-05-15,2017-05-24,geopolitics,trump impeachment,Politics & Government
2017-05-16,2017-05-18,crisis,celtics,General / Breaking News
2017-05-16,2017-05-19,crisis,michael t. flynn,General / Breaking News
2017-05-16,2017-05-16,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-05-16,2017-05-19,geopolitics,trump russia,Politics & Government
2017-05-16,2017-05-16,crisis,washington post,General / Breaking News
2017-05-18,2017-06-02,crisis,chris cornell,General / Breaking News
2017-05-18,2017-05-18,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-05-18,2017-05-19,geopolitics,trump news,Politics & Government
2017-05-22,2017-05-24,geopolitics,melania trump,Politics & Government
2017-05-22,2017-05-22,crisis,cnn news,General / Breaking News
2017-05-22,2017-05-26,crisis,celtics,General / Breaking News
2017-05-23,2017-05-23,crisis,nbc news,General / Breaking News
2017-05-23,2017-05-23,geopolitics,ivanka trump,Politics & Government
2017-05-24,2017-05-24,crisis,betsy devos,General / Breaking News
2017-05-24,2017-05-24,crisis,united airlines,Technology & AI
2017-05-25,2017-05-25,crisis,michael t. flynn,General / Breaking News
2017-05-25,2017-05-25,crisis,mariah carey,General / Breaking News
2017-05-26,2017-05-26,geopolitics,melania trump,Politics & Government
2017-05-26,2017-05-26,crisis,nbc news,General / Breaking News
2017-05-30,2017-05-30,crisis,abc news,General / Breaking News
2017-05-31,2017-06-02,geopolitics,ivanka trump,Politics & Government
2017-05-31,2017-06-01,crisis,carmelo anthony,General / Breaking News
2017-06-01,2017-06-01,geopolitics,trump impeachment,Politics & Government
2017-06-02,2017-06-05,crisis,kellyanne conway,General / Breaking News
2017-06-06,2017-06-06,geopolitics,trump twitter,Politics & Government
