Date,spx_close,1_day_vol,3_day_avg_vol,30_day_implied_vol,event_intensity,trend_spike
2017-01-03,2257.830078,,,12.85,0.7858056834570801,0.8622077720207253
2017-01-04,2270.75,0.0057222738442055,,11.85,0.2874025906735751,0.8622077720207253
2017-01-05,2269.0,0.0007706704833204,,11.67,0.4065314566529565,0.8622077720207253
2017-01-06,2276.97998046875,0.0035169592193697,0.0033366345156319,11.32,9.433605090206186,5.2261
2017-01-09,2268.89990234375,0.0035485942758867,0.0026120746595256,11.56,1.057240206185567,4.368
2017-01-10,2268.89990234375,0.0,0.0023551844984188,11.49,2.640955670103093,4.368
2017-01-11,2275.320068359375,0.0028296382793233,0.0021260775184033,11.26,2.8840608247422677,4.368
2017-01-12,2270.43994140625,0.0021448089967596,0.0016581490920276,11.54,0.9907735539880628,4.368
2017-01-13,2274.639892578125,0.0018498402425362,0.0022747625062063,11.23,1.5119701030927835,4.368
2017-01-17,2267.889892578125,0.002967502689997,0.0023207173097642,11.87,0.8232594572939478,4.368
2017-01-18,2271.889892578125,0.0017637540575008,0.002193698996678,12.48,0.4000130655413705,0.8272041450777201
2017-01-19,2263.68994140625,0.0036093083554193,0.002780188367639,12.78,0.6750089418300304,0.8272041450777201
2017-01-20,2271.31005859375,0.0033662371547078,0.002913099855876,11.54,5.910518113068038,4.5823
2017-01-23,2265.199951171875,0.0026901247580694,0.0032218900893988,11.77,7.197045846629281,5.419752577319588
2017-01-24,2280.070068359375,0.0065645936376641,0.0042069851834804,11.07,2.467373656710257,5.419752577319588
2017-01-25,2298.3701171875,0.0080260905496174,0.0057602696484503,10.81,7.760103024659738,15.810763350785344
2017-01-26,2296.679931640625,0.0007353844075136,0.0051086895315984,10.63,11.312030045574893,61.5702
2017-01-27,2294.68994140625,0.0008664638929263,0.0032093129500191,10.58,12.149841077963558,61.5702
2017-01-30,2280.89990234375,0.0060095435176958,0.0025371306060452,11.88,5.931432749080815,61.5702
2017-01-31,2278.8701171875,0.000889905407144,0.002588637605922,11.99,8.393658410983347,61.5702
2017-02-01,2279.550048828125,0.0002983634896507,0.0023992708048302,11.81,5.091373874900873,61.5702
2017-02-02,2280.85009765625,0.0005703094032936,0.0005861927666961,11.93,4.935707895519429,61.5702
2017-02-03,2297.419922,0.0072647581534519,0.0027111436821321,10.97,5.2639481017049965,61.5702
2017-02-06,2292.56005859375,0.0021153570401789,0.0033168081989748,11.37,4.928512019230769,61.5702
2017-02-07,2293.080078,0.0002268291311717,0.0032023147749342,11.29,5.219955318199841,61.5702
2017-02-08,2294.669922,0.0006933224946015,0.001011836221984,11.45,7.0631970719375765,61.5702
2017-02-09,2307.8701171875,0.005752546394993,0.0022242326735887,10.88,10.509645684150106,61.5702
2017-02-10,2316.10009765625,0.0035660501028451,0.0033373063308132,10.85,6.671671457345982,61.5702
2017-02-13,2328.25,0.0052458450979924,0.0048548138652768,11.07,0.8762332843050125,3.9543
2017-02-14,2337.580078,0.0040073351229463,0.0042730767745946,10.74,3.5894657012580473,3.9543
