datetime,coronavirus_intensity,covid_intensity,covid 19_intensity,stimulus_intensity,covid-19_intensity,stimulus check_intensity,coronavirus update_intensity,coronavirus cases_intensity,coronavirus news_intensity,corona virus_intensity,coronavirus us_intensity,coronavirus usa_intensity,florida coronavirus_intensity,california coronavirus_intensity,coronavirus florida_intensity,coronavirus california_intensity,coronavirus vaccine_intensity,coronavirus new york_intensity,george floyd_intensity,coronavirus china_intensity,covid vaccine_intensity,coronavirus nyc_intensity,coronavirus texas_intensity,nyc coronavirus_intensity,coronavirus trump_intensity,stimulus update_intensity,italy coronavirus_intensity,coronavirus italy_intensity,stimulus package_intensity,election results 2020_intensity,coronavirus ohio_intensity,coronavirus ny_intensity,coronavirus michigan_intensity,second stimulus check_intensity,coronavirus nj_intensity,coronavirus los angeles_intensity,trump covid_intensity,coronavirus india_intensity,coronavirus virginia_intensity,coronavirus cure_intensity,coronavirus colorado_intensity,coronavirus death toll_intensity,coronavirus symptoms_intensity,coronavirus massachusetts_intensity,corona_intensity,covid 19 vaccine_intensity,unemployment_intensity,hurricane laura_intensity,coronavirus pennsylvania_intensity,ryan newman_intensity
2020-01-13,0.0213,0.0,0.0,0.0487,0.0,0.0,0.0,0.0002,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.1688,0.0,0.0,0.0
2020-01-14,0.0191,0.0,0.0,0.0656,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.1526,0.0,0.0,0.0002
2020-01-15,0.027,0.0,0.0,0.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.1387,0.0,0.0,0.0002
2020-01-16,0.0371,0.0,0.0,0.0305,0.0,0.0,0.0,0.0014,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.1942,0.0,0.0,0.0002
2020-01-17,0.1123,0.0,0.0,0.1081,0.0,0.0,0.0,0.0032,0.0,0.0011,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.3194,0.0,0.0,0.0002
2020-01-18,0.1789,0.0,0.0,0.0198,0.0,0.0,0.0,0.0003,0.0003,0.0007,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.1307,0.0,0.0,0.0003
2020-01-19,0.1095,0.0,0.0,0.0321,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.1523,0.0,0.0,0.0007
2020-01-20,0.241,0.0,0.0,0.0499,0.0,0.0,0.0,0.0106,0.0002,0.0021,0.0002,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0207,0.0,0.1696,0.0,0.0,0.0
2020-01-21,0.6554,0.0,0.0,0.0675,0.0,0.0,0.0,0.0127,0.0031,0.0058,0.0017,0.0,0.0,0.0,0.0,0.0,0.0025,0.0002,0.0,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0,0.0006,0.0227,0.0,0.156,0.0,0.2216,0.0,0.0,0.0
2020-01-22,0.8674,0.0,0.0,0.0388,0.0,0.0,0.0,0.0107,0.0006,0.0084,0.0157,0.0,0.0,0.0,0.0,0.0,0.0382,0.0,0.0,0.0772,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.007,0.0038,0.0002,0.0491,0.0,0.1857,0.0,0.0,0.0026
2020-01-23,0.9886,0.0,0.0,0.0749,0.0,0.0,0.0004,0.0553,0.005,0.013,0.0014,0.0,0.0,0.0,0.0,0.0002,0.0066,0.0008,0.0,0.0766,0.0,0.0,0.0021,0.0,0.0002,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0019,0.0066,0.0004,0.0886,0.0,0.1611,0.0,0.0,0.0006
2020-01-24,1.2478,0.0,0.0,0.0408,0.0,0.0,0.0043,0.0386,0.0043,0.0122,0.0068,0.0,0.0,0.0002,0.0,0.0005,0.0068,0.0023,0.0,0.1261,0.0,0.0,0.005,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0,0.0025,0.0,0.0009,0.0,0.0,0.0002,0.0,0.0005,0.0,0.0002,0.0,0.0056,0.0302,0.0002,0.0803,0.0,0.1976,0.0,0.0,0.0007
2020-01-25,1.225,0.0,0.0,0.0212,0.0,0.0,0.0021,0.0551,0.0082,0.0109,0.0277,0.0,0.0,0.0003,0.0,0.0003,0.0021,0.001,0.0,0.0794,0.0,0.0,0.0003,0.0,0.0031,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0062,0.0079,0.0,0.0455,0.0,0.2152,0.0,0.0014,0.0003
2020-01-26,1.3834,0.0,0.0,0.0402,0.0,0.0,0.0011,0.0295,0.0008,0.013,0.0249,0.0,0.0,0.0004,0.0,0.0008,0.013,0.0011,0.0,0.0984,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0008,0.0004,0.0008,0.0,0.0,0.0,0.0031,0.005,0.0,0.0008,0.0008,0.0,0.0,0.005,0.0092,0.0008,0.0367,0.0,0.1079,0.0,0.0004,0.0
2020-01-27,1.1828,0.0,0.0,0.0328,0.0,0.0,0.0019,0.0795,0.0049,0.024,0.0033,0.0,0.0,0.0012,0.0021,0.0019,0.0119,0.0026,0.0,0.0902,0.0,0.0002,0.0021,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0023,0.0,0.0002,0.004,0.0,0.0002,0.0028,0.0002,0.0009,0.01,0.0102,0.0002,0.1423,0.0,0.1553,0.0,0.0,0.0002
2020-01-28,1.5654,0.0,0.0,0.0488,0.0,0.0,0.0035,0.0523,0.0035,0.0264,0.0255,0.0002,0.0,0.0,0.0042,0.0007,0.0101,0.0031,0.0002,0.1584,0.0,0.0,0.002,0.0,0.0007,0.0,0.0,0.0,0.0007,0.0,0.002,0.0,0.0018,0.0,0.002,0.0011,0.0,0.0007,0.0011,0.0,0.0013,0.0127,0.0169,0.0022,0.107,0.0,0.1094,0.0,0.0,0.0009
2020-01-29,1.7777,0.0,0.0,0.0477,0.0,0.0,0.0031,0.092,0.0053,0.0425,0.007,0.0,0.0002,0.0011,0.0002,0.0,0.0094,0.0007,0.0,0.1226,0.0,0.0,0.0004,0.0,0.0018,0.0,0.0,0.0,0.0015,0.0002,0.0009,0.0,0.0004,0.0,0.0004,0.0039,0.0,0.0296,0.0,0.0002,0.0011,0.0123,0.0379,0.0037,0.1228,0.0,0.1612,0.0,0.0,0.0011
