datetime,omicron_intensity,brian laundrie_intensity,gabby petito_intensity,delta variant_intensity,vaccine mandate_intensity,shiba inu coin_intensity,dogecoin_intensity,marjorie taylor greene_intensity,johnson and johnson vaccine_intensity,capitol_intensity,deshaun watson_intensity,crypto_intensity,cardano_intensity,amc stock_intensity,taliban_intensity,afghanistan_intensity,afghanistan news_intensity,ethereum_intensity,justin fields_intensity,aaron rodgers_intensity,myanmar_intensity,covid vaccine_intensity,britney spears_intensity,ted cruz_intensity,vaccine_intensity,russell wilson_intensity,tiger woods_intensity,washington football team_intensity,gamestop_intensity,kyle rittenhouse_intensity,student loan forgiveness_intensity,bitcoin_intensity,bitcoin price_intensity,immigration news_intensity,phoenix suns_intensity,nba scores_intensity,ukraine_intensity,atlanta braves_intensity,knicks_intensity,elon musk_intensity,yankees_intensity,kim kardashian_intensity,israel_intensity,traductor_intensity,dodgers_intensity,chicago bears_intensity,ethiopia_intensity
2021-01-19,0.0007,0.0,0.0,0.0,0.0012,0.0,0.0,0.0146,0.0007,2.8967,0.0149,0.0459,0.0012,0.0002,0.0377,0.1798,0.0,0.019,0.0084,0.0211,0.0519,0.9042,0.007,0.0634,2.3735,0.0022,0.005,0.0096,0.0024,0.0029,0.0036,0.0665,0.0043,0.0029,0.0168,0.0,0.2024,0.0031,0.0271,0.0963,0.0142,0.0816,0.3601,0.0,0.0226,0.0151,0.0267
2021-01-20,0.0002,0.0,0.0,0.0,0.0009,0.0,0.0005,0.0195,0.0007,4.1647,0.0174,0.0227,0.0005,0.0002,0.0313,0.1951,0.0,0.0095,0.0016,0.0202,0.1146,0.9326,0.0135,0.1023,2.1246,0.003,0.0121,0.0086,0.0088,0.0165,0.0079,0.0536,0.0035,0.0035,0.013,0.0,0.1432,0.0181,0.0107,0.0506,0.0318,0.0399,0.4404,0.0,0.0515,0.0151,0.0309
2021-01-21,0.0002,0.0,0.0,0.0,0.0016,0.0,0.0,0.045,0.0002,2.6694,0.0155,0.0352,0.003,0.0,0.0253,0.1147,0.0,0.0138,0.0045,0.0436,0.038,0.9682,0.0054,0.1187,2.5179,0.0038,0.004,0.0136,0.0075,0.0019,0.0068,0.06,0.0049,0.0033,0.0223,0.0,0.1527,0.0016,0.0181,0.0507,0.0256,0.0645,0.2946,0.0,0.0157,0.019,0.0291
2021-01-22,0.0012,0.0,0.0,0.0,0.0024,0.0,0.0005,0.0544,0.0019,2.0309,0.0107,0.0478,0.0007,0.0,0.0764,0.2211,0.0,0.016,0.0044,0.0813,0.0298,1.1279,0.0468,0.157,2.7944,0.0039,0.0063,0.0578,0.0175,0.0027,0.0027,0.0859,0.0068,0.0046,0.0119,0.0,0.2216,0.0895,0.0328,0.1012,0.0573,0.0252,0.2766,0.0,0.0629,0.0153,0.04
2021-01-23,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0192,0.0027,2.0449,0.0238,0.0177,0.0004,0.0,0.0523,0.1091,0.0,0.0031,0.0061,0.0803,0.0269,1.0718,0.0284,0.0561,2.2905,0.0019,0.0054,0.0307,0.0069,0.0215,0.0038,0.0319,0.0069,0.0058,0.0311,0.0,0.146,0.0653,0.04,0.03,0.0304,0.0042,0.1849,0.0,0.1391,0.0127,0.0208
2021-01-24,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0172,0.0034,1.5041,0.0249,0.0189,0.0,0.0,0.0176,0.1038,0.0,0.0154,0.0069,0.0703,0.0236,0.6582,0.0021,0.0789,1.7824,0.0013,0.0021,0.0227,0.0056,0.0639,0.0141,0.0364,0.0051,0.0021,0.0249,0.0004,0.1016,0.0274,0.0249,0.0292,0.0506,0.0039,0.2911,0.0,0.0416,0.0172,0.0172
2021-01-25,0.0003,0.0,0.0,0.0,0.0008,0.0,0.0003,0.0043,0.0046,1.3028,0.0196,0.0406,0.0051,0.0028,0.0094,0.0584,0.0,0.011,0.0033,0.1355,0.0196,1.1314,0.0013,0.0446,2.5395,0.0074,0.0054,0.0166,0.0747,0.0018,0.0122,0.0372,0.0036,0.002,0.0219,0.0,0.0811,0.0061,0.0319,0.0482,0.0314,0.0125,0.3962,0.0,0.037,0.0145,0.05
2021-01-26,0.0009,0.0,0.0,0.0,0.0007,0.0,0.0035,0.0211,0.0009,1.5754,0.0125,0.0327,0.0014,0.0005,0.071,0.1969,0.0002,0.012,0.0063,0.0329,0.0277,1.0791,0.004,0.0644,2.7422,0.0023,0.0113,0.0078,0.1126,0.0141,0.0087,0.0517,0.0035,0.0021,0.0106,0.0,0.1988,0.007,0.0219,0.0592,0.043,0.0056,0.4183,0.0,0.0207,0.0089,0.0254
2021-01-27,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0382,0.0023,1.4515,0.0086,0.0327,0.0,0.008,0.0416,0.1266,0.0,0.0161,0.0036,0.0191,0.0232,1.0664,0.0057,0.078,2.944,0.0034,0.0036,0.0089,0.3007,0.0093,0.0068,0.052,0.0025,0.003,0.0057,0.0,0.1857,0.0164,0.0384,0.0732,0.033,0.0152,0.5941,0.0,0.0139,0.0059,0.0557
2021-01-28,0.0002,0.0,0.0,0.0,0.0007,0.0,0.0025,0.1774,0.0036,1.4091,0.0604,0.0428,0.0002,0.0198,0.0412,0.1503,0.0,0.0166,0.0052,0.0091,0.0961,1.0439,0.0706,0.0936,2.6391,0.0027,0.0021,0.0355,0.6986,0.0134,0.005,0.0592,0.0039,0.0023,0.0228,0.0,0.0893,0.0276,0.0157,0.085,0.0355,0.0214,0.369,0.0,0.0166,0.0353,0.0248
