"query","search interest","increase percent"
"coronavirus",100,"Breakout"
"covid",39,"Breakout"
"covid 19",14,"Breakout"
"stimulus",14,"Breakout"
"covid-19",6,"Breakout"
"stimulus check",5,"Breakout"
"coronavirus update",5,"Breakout"
"coronavirus cases",5,"Breakout"
"coronavirus news",4,"Breakout"
"corona virus",4,"Breakout"
"coronavirus us",4,"Breakout"
"coronavirus usa",3,"Breakout"
"florida coronavirus",3,"Breakout"
"california coronavirus",3,"Breakout"
"coronavirus florida",3,"Breakout"
"coronavirus california",2,"Breakout"
"coronavirus vaccine",2,"Breakout"
"coronavirus new york",2,"Breakout"
"george floyd",2,"Breakout"
"coronavirus china",2,"Breakout"
"covid vaccine",2,"Breakout"
"coronavirus nyc",2,"Breakout"
"coronavirus texas",2,"Breakout"
"nyc coronavirus",2,"Breakout"
"coronavirus trump",2,"Breakout"
"stimulus update",2,"Breakout"
"italy coronavirus",1,"Breakout"
"coronavirus italy",1,"Breakout"
"stimulus package",2,"Breakout"
"election results 2020",2,"Breakout"
"coronavirus ohio",1,"Breakout"
"coronavirus ny",1,"Breakout"
"coronavirus michigan",1,"Breakout"
"second stimulus check",1,"Breakout"
"coronavirus nj",1,"Breakout"
"coronavirus los angeles",1,"Breakout"
"trump covid",1,"Breakout"
"coronavirus india",1,"4,900%"
"coronavirus virginia",1,"4,350%"
"coronavirus cure",1,"4,150%"
"coronavirus colorado",1,"3,950%"
"coronavirus death toll",1,"3,800%"
"coronavirus symptoms",1,"3,750%"
"coronavirus massachusetts",1,"3,600%"
"corona",9,"3,600%"
"covid 19 vaccine",1,"3,300%"
"unemployment",9,"3,100%"
"hurricane laura",0,"2,850%"
"coronavirus pennsylvania",0,"2,750%"
"ryan newman",1,"2,500%"
