"query","search interest","increase percent"
"hurricane irma",4,"Breakout"
"irma",8,"Breakout"
"hurricane harvey",1,"4,800%"
"sean spicer",1,"3,050%"
"betsy devos",2,"2,400%"
"chris cornell",1,"1,900%"
"trump impeachment",1,"1,700%"
"litecoin",1,"1,550%"
"nintendo switch",4,"1,350%"
"sessions",2,"1,050%"
"michael t. flynn",0,"1,000%"
"iphone 8",1,"950%"
"daca",2,"900%"
"ethereum",1,"800%"
"h1b",2,"700%"
"trump russia",3,"650%"
"carmelo anthony",1,"550%"
"meryl streep",1,"550%"
"kellyanne conway",1,"500%"
"north korea",11,"450%"
"aaron hernandez",1,"400%"
"miss universe",1,"350%"
"korea",14,"350%"
"kyrie irving",1,"300%"
"bitcoin",4,"300%"
"golden globe award",0,"250%"
"united airlines",2,"200%"
"toshiba",0,"160%"
"melania trump",2,"130%"
"trump news",5,"130%"
"cavs",2,"130%"
"trump twitter",1,"130%"
"immigration",5,"110%"
"mariah carey",1,"110%"
"eminem",1,"110%"
"ivanka trump",2,"110%"
"news today",4,"100%"
"celtics",3,"100%"
"nintendo",7,"90%"
"cnn news",2,"90%"
"abc news",1,"90%"
"amd",2,"90%"
"washington post",2,"80%"
"patriots",8,"80%"
"mexico",7,"80%"
"amazon",8,"80%"
"dragon ball super",1,"80%"
"craigslist",4,"80%"
"weather",15,"80%"
"nbc news",1,"70%"
