"query","search interest","increase percent"
"hurricane milton",3,"Breakout"
"jd vance",2,"2,550%"
"tim walz",1,"1,600%"
"kamala harris",8,"1,350%"
"vance",3,"1,300%"
"trump shot",1,"1,100%"
"olympics",6,"1,050%"
"diddy",7,"1,000%"
"milton",4,"1,000%"
"iphone 16",1,"1,000%"
"liam payne",1,"950%"
"mpox",1,"800%"
"presidential polls",1,"800%"
"习近平",4,"750%"
"2024",84,"700%"
"election results",6,"650%"
"p diddy",2,"650%"
"sean combs",1,"600%"
"harris",15,"550%"
"bird flu",1,"350%"
"election",18,"350%"
"houthis",0,"300%"
"boeing",4,"250%"
"iran israel",2,"200%"
"hezbollah",1,"190%"
"israel iran",2,"190%"
"trump",54,"180%"
"jay z",1,"170%"
"nvidia",3,"160%"
"nvidia stock",1,"150%"
"hurricane",10,"150%"
"kate middleton",2,"140%"
"jlo",1,"140%"
"rfk jr",1,"140%"
"donald trump",6,"120%"
"lebanon",2,"110%"
"venezuela",2,"90%"
"iran",7,"90%"
"ben affleck",1,"90%"
"intel",2,"80%"
"spacex",2,"80%"
"drake",3,"80%"
"democrats",1,"70%"
"nasa",2,"70%"
"melania trump",1,"70%"
"joe biden",4,"70%"
"syria",2,"60%"
"taylor swift travis kelce",1,"60%"
"biden",18,"60%"
"mars",1,"60%"
