"query","search interest","increase percent"
"omicron",3,"Breakout"
"brian laundrie",2,"Breakout"
"gabby petito",2,"Breakout"
"delta variant",2,"Breakout"
"vaccine mandate",2,"4,350%"
"shiba inu coin",1,"2,950%"
"dogecoin",3,"1,950%"
"dmx",1,"1,300%"
"marjorie taylor greene",1,"1,200%"
"johnson and johnson vaccine",1,"1,150%"
"capitol",4,"900%"
"deshaun watson",1,"850%"
"crypto",4,"750%"
"cardano",1,"750%"
"amc stock",1,"550%"
"taliban",1,"550%"
"afghanistan",4,"550%"
"afghanistan news",1,"500%"
"ethereum",2,"400%"
"justin fields",0,"400%"
"aaron rodgers",1,"350%"
"myanmar",1,"350%"
"covid vaccine",12,"300%"
"britney spears",1,"250%"
"ted cruz",1,"250%"
"amc",2,"200%"
"vaccine",28,"200%"
"russell wilson",0,"190%"
"tiger woods",1,"190%"
"washington football team",1,"180%"
"gamestop",2,"170%"
"kyle rittenhouse",1,"170%"
"student loan forgiveness",1,"170%"
"bitcoin",5,"150%"
"bitcoin price",1,"150%"
"immigration news",1,"100%"
"phoenix suns",0,"90%"
"nba scores",0,"80%"
"ukraine",1,"80%"
"atlanta braves",1,"80%"
"aew",1,"70%"
"knicks",1,"70%"
"elon musk",2,"70%"
"yankees",2,"70%"
"kim kardashian",1,"70%"
"israel",4,"70%"
"traductor",1,"60%"
"dodgers",1,"60%"
"chicago bears",1,"60%"
"ethiopia",1,"60%"
