date,hurricane dorian,jussie smollett,notre dame fire,mad cow,avengers endgame,isPartial,pete buttigieg,lori loughlin,cameron boyce,andrew yang,disney plus,isPartial,mad cow disease,nipsey hussle,jeffrey epstein,antonio brown,mueller report,isPartial,r kelly,biden,impeachment,joe biden,hong kong,isPartial,香港,boris johnson,kamala harris,game of thrones,bernie sanders,isPartial,wework,trump impeachment,notre dame,brexit,venezuela news,isPartial,huawei,kevin durant,melvin gordon,venezuela,ukraine,isPartial,climate change,recession,bryce harper,beto o'rourke,boeing,isPartial,michael jackson,phillies,news today,pakistan,shutdown,isPartial,iran news,earthquake,india,tottenham,iran,isPartial
2019-06-02,0,1,0,0,9,False,0,0,0,0,0,False,0,1,0,0,1,False,1,2,1,1,16,False,5,1,0,13,0,False,0,0,1,2,0,False,44,8,0,38,4,False,6,2,1,0,11,False,6,5,15,42,1,False,0,2,75,4,3,False
2019-06-09,0,1,0,0,8,False,0,0,0,0,0,False,0,1,0,0,1,False,1,3,1,2,26,False,11,2,0,10,1,False,0,0,1,1,0,False,43,26,0,43,5,False,6,1,1,0,9,False,6,4,16,47,1,False,0,2,78,2,4,False
2019-06-16,0,1,0,0,8,False,0,0,0,0,0,False,0,1,0,0,0,False,1,3,1,2,22,False,7,3,0,8,1,False,0,0,1,1,0,False,42,2,0,51,4,False,5,1,1,0,11,False,6,5,15,99,1,False,1,2,93,1,8,False
2019-06-23,0,1,0,0,9,False,1,0,0,1,0,False,0,3,0,0,1,False,1,6,0,3,17,False,6,2,3,7,2,False,0,0,1,1,0,False,45,3,0,54,3,False,5,1,1,2,11,False,10,5,15,60,1,False,1,2,75,2,6,False
2019-06-30,0,0,0,0,8,False,0,0,0,0,0,False,0,2,0,0,0,False,1,3,0,2,20,False,6,1,3,6,1,False,0,0,1,1,0,False,46,9,0,33,3,False,4,1,1,1,9,False,6,4,18,50,1,False,1,25,88,2,4,False
2019-07-07,0,0,0,0,6,False,0,0,100,0,0,False,0,1,15,0,0,False,3,2,0,1,17,False,6,1,1,6,1,False,0,0,1,1,0,False,46,2,0,31,3,False,5,1,1,0,10,False,6,3,16,31,1,False,1,9,86,2,4,False
2019-07-14,0,0,0,0,6,False,0,0,5,0,0,False,0,1,4,0,0,False,3,2,1,1,16,False,6,1,1,6,1,False,0,0,1,1,0,False,47,1,0,29,3,False,5,1,1,0,10,False,5,5,16,31,1,False,1,4,63,2,4,False
2019-07-21,0,0,0,0,9,False,0,0,2,0,0,False,0,1,4,1,2,False,2,1,1,1,20,False,8,12,0,6,1,False,0,0,1,2,0,False,48,1,0,29,4,False,4,2,1,0,11,False,5,4,17,30,1,False,1,2,61,4,4,False
2019-07-28,0,0,0,0,9,False,1,0,3,1,0,False,0,1,2,1,0,False,2,4,1,3,20,False,7,3,2,5,1,False,0,0,1,2,0,False,47,1,0,33,3,False,5,2,1,1,10,False,5,5,18,32,1,False,0,2,64,4,3,False
2019-08-04,0,0,0,0,6,False,0,0,2,1,0,False,0,1,19,6,0,False,2,4,1,2,24,False,8,1,1,5,1,False,0,0,1,2,0,False,49,1,0,31,3,False,5,3,1,3,9,False,5,4,25,35,1,False,0,2,76,5,3,False
2019-08-11,0,0,0,0,6,False,0,0,2,1,0,False,0,3,24,4,0,False,1,2,1,1,43,False,12,1,0,5,1,False,0,0,2,2,0,False,47,1,1,28,3,False,5,10,3,1,9,False,5,5,18,33,1,False,0,1,69,3,3,False
2019-08-18,0,0,0,0,5,False,0,0,1,1,2,False,0,1,4,3,0,False,1,2,1,1,25,False,8,1,0,4,1,False,0,0,2,2,0,False,47,1,1,30,4,False,5,8,1,0,10,False,6,4,16,34,1,False,0,1,65,2,3,False
2019-08-25,45,1,0,0,4,False,0,0,1,1,2,False,0,1,2,1,0,False,1,2,0,1,21,False,7,2,0,4,1,False,0,0,2,3,0,False,43,0,3,31,3,False,6,5,1,0,9,False,7,4,16,33,1,False,0,1,66,2,3,False
2019-09-01,100,1,0,0,4,False,0,0,1,1,1,False,0,1,1,30,0,False,1,3,0,2,24,False,7,4,0,4,1,False,0,0,3,6,0,False,43,1,6,34,4,False,6,4,1,0,8,False,5,3,17,32,1,False,0,1,63,3,2,False
2019-09-08,5,1,0,0,3,False,0,1,1,1,2,False,0,1,1,33,0,False,1,4,1,2,18,False,7,2,1,4,1,False,0,0,2,4,0,False,44,1,2,35,4,False,6,3,1,1,9,False,5,3,15,31,1,False,0,2,63,1,3,False
